,Title,Author,Duration,Thumbnail
https://www.youtube.com/watch?v=-fwqYxVGEwI,Idioten stoppen: DIESER Trick klappt immer (Umgang mit schwierigen Menschen),Martin Wehrle: Coaching- und Karrieretipps,625,https://i.ytimg.com/vi_webp/-fwqYxVGEwI/maxresdefault.webp
https://www.youtube.com/watch?v=-g4bIC2iwl8,Verhandlungssache: HU-16 im Safari-Look?! | Steel Buddies | DMAX Deutschland,DMAX,538,https://i.ytimg.com/vi/-g4bIC2iwl8/maxresdefault.jpg
https://www.youtube.com/watch?v=-GrYGqMHwxg,Winkel messen & Winkel zeichnen - einfach erklärt | Lehrerschmidt - einfach erklärt!,Lehrerschmidt,871,https://i.ytimg.com/vi_webp/-GrYGqMHwxg/maxresdefault.webp
https://www.youtube.com/watch?v=-gv5jb8Zpb8,Wie schreibe ich eine Gedichtanalyse? I musstewissen Deutsch,musstewissen Deutsch,440,https://i.ytimg.com/vi/-gv5jb8Zpb8/maxresdefault.jpg
https://www.youtube.com/watch?v=-hRUZwNU0E0,Keller aufräumen + ausmisten l Mit wenigen Handgriffen zum begebbaren Keller,Made My Day_MMD,274,https://i.ytimg.com/vi/-hRUZwNU0E0/maxresdefault.jpg?sqp=-oaymwEmCIAKENAF8quKqQMa8AEB-AHUBoAC4AOKAgwIABABGGUgXChWMA8=&rs=AOn4CLB2vU2dD1l4vxzh5qSEaa-Smk-v4A
https://www.youtube.com/watch?v=-jfGsV50BQU,Akkorde melodisch verbinden – gute Stimmführung,spielend Klavier lernen,565,https://i.ytimg.com/vi_webp/-jfGsV50BQU/maxresdefault.webp
https://www.youtube.com/watch?v=-jG35S6yurs,SAMI UND ABK reagieren auf DIESE GUT MEMES😂 😂,Mad Villain,772,https://i.ytimg.com/vi_webp/-jG35S6yurs/maxresdefault.webp
https://www.youtube.com/watch?v=-jXpUbgfFWg,"""Der Provinz-Irrenarzt"": Wenn die Seele krank macht | SPIEGEL TV",DER SPIEGEL,2248,https://i.ytimg.com/vi/-jXpUbgfFWg/maxresdefault.jpg
https://www.youtube.com/watch?v=-kjsF0sflQQ,Der Müll-Check | Reportage für Kinder | Checker Tobi,CHECKER WELT,1472,https://i.ytimg.com/vi/-kjsF0sflQQ/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDuwx5U7GnQYEy07vSxeUtDNKupHw
https://www.youtube.com/watch?v=-laNxxdV5QY,BINOMISCHE FORMELN – einfach erklärt mit Beispielen,MathemaTrick,388,https://i.ytimg.com/vi/-laNxxdV5QY/maxresdefault.jpg
